Tibetan,English
ཕྲད་ན་དགའ་བས་མགུ་བྱས་ཏེ། །འདྲིས་ཆེན་ཉིད་དུ་མི་འགྱུར་བར། །ཐ་མལ་པ་ཙམ་ལེགས་པར་བྱ། །,"When meeting, greet with joy and delight,<br>But do not become overly familiar.<br>It is best to maintain a casual, ordinary manner."
བུང་བས་མེ་ཏོག་སྦྲང་རྩི་བཞིན། །ཆོས་ཀྱི་དོན་ཙམ་བླངས་ནས་ནི། །ཀུན་ལ་སྔོན་ཆད་མ་མཐོང་བཞིན། །འདྲིས་པ་མེད་པར་གནས་པར་བྱ། །,"Like a bee gathering nectar from flowers,<br>Extract only the essence of the Dharma.<br>Then dwell without attachment,<br>As if never having seen anyone before."
བདག་ནི་རྙེད་མང་བཀུར་སྟི་བཅས། །བདག་ལ་མང་པོ་དགའ་འོ་ཞེས། །དེ་འདྲའི་སྙེམས་པ་འཆང་གྱུར་ན། །ཤི་བའི་འོག་ཏུ་འཇིགས་པ་སྐྱེ། །,"If I cling to pride, thinking:<br>""I have many possessions and honors,<br>Many people are fond of me,""<br>Then after death, fear will arise."
དེ་བས་རྣམ་པར་རྨོངས་པའི་ཡིད། །གང་དང་གང་ལ་ཆགས་གྱུར་པ། །དེ་དང་དེ་བསྡོངས་སྟོང་འགྱུར་དུ། །སྡུག་བསྔལ་ཉིད་དུ་འགྱུར་ཞིང་ལྡང་། །,"Therefore, the deluded mind,<br>To whatever it becomes attached,<br>That very thing, a thousandfold,<br>Becomes suffering and arises as such."
དེ་བས་མཁས་པས་ཆགས་མི་བྱ། །,"Therefore, the wise do not become attached."
ཆགས་པ་ལས་ནི་འཇིགས་པ་སྐྱེ། །,"From attachment, fear is born."
འདི་དག་རང་བཞིན་འདོར་འགྱུར་བས། །བརྟན་པར་གྱིས་ཏེ་རབ་ཏུ་རྟོགས། །,"Since these things are of a nature to be discarded,<br>Make yourself steadfast and realize this thoroughly."
རྙེད་པ་དག་ནི་མང་བྱུང་ཞིང་། །གྲགས་དང་སྙན་པ་བྱུང་གྱུར་ཀྱང་། །རྙེད་དང་གྲགས་པའི་ཚོགས་བཅས་ཏེ། །གང་དུ་འདོང་བའི་གཏོལ་མེད་དོ། །,"Though many gains may come,<br>And fame and praise may arise,<br>With all these accumulations of gain and renown,<br>There is no certainty where one will go."
བདག་ལ་སྨོད་པ་གཞན་ཡོད་ན། །བསྟོད་པས་བདག་དགར་ཅི་ཞིག་ཡོད། །,"If others criticize me,<br>What joy is there in praise?"
བདག་ལ་བསྟོད་པ་གཞན་ཡོད་ན། །སྨད་པས་མི་དགར་ཅི་ཞིག་ཡོད། །,"If others praise me,<br>What is there to dislike about criticism?"
སེམས་ཅན་མོས་པ་སྣ་ཚོགས་པ། །རྒྱལ་བས་ཀྱང་ནི་མི་མགུ་ན། །བདག་འདྲ་ངན་པས་སྨོས་ཅི་དགོས། །,"Even the Buddhas cannot please<br>All the various inclinations of sentient beings.<br>So what need is there to mention someone like me, so inferior?"
དེ་བས་འཇིག་རྟེན་བསམ་པ་བཏང་། །,"Therefore, abandon worldly thoughts."
སེམས་ཅན་རྙེད་པ་མེད་ལ་སྨོད། །,Disparage those who have not found their mind.
རྙེད་པ་ཅན་ལ་མི་སྙན་བརྗོད། །,Speak ill of those who have gained.
རང་བཞིན་འགྲོགས་དཀའ་དེ་དག་གིས། །དགའ་བ་ཇི་ལྟར་སྐྱེ་བར་འགྱུར། །,How can joy arise<br>From those who are difficult to associate with by nature?
གང་ཕྱིར་བྱིས་པ་རང་དོན་ནི། །མེད་པར་དགའ་བ་མི་འབྱུང་བས། །བྱིས་པ་འགའ་ཡང་བཤེས་མིན་ཞེས། །དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱིས་གསུངས། །,"Because the childish do not experience joy<br>Without [pursuing] their own interests,<br>The Tathagatas have declared<br>That no childish person is a true friend."
ནགས་ན་རི་དྭགས་བྱ་རྣམས་དང་། །ཤིང་རྣམས་མི་སྙན་རྗོད་མི་བྱེད། །,"In the forest, the wild animals and birds,<br>And the trees do not speak unpleasantly."
འགྲོགས་ན་བདེ་བ་དེ་དག་དང་། །ནམ་ཞིག་ལྷན་ཅིག་བདག་གནས་འགྱུར། །,"With those who bring happiness when associated with,<br>May I someday come to dwell together."
ཕུག་གམ་ལྷ་ཁང་སྟེང་པའམ། །ལྗོན་ཤིང་དྲུང་དུ་གནས་བཅས་ཏེ། །,"Dwell in a cave, in an upper temple room,<br>Or at the foot of a tree."
ནམ་ཞིག་རྒྱབ་ཏུ་མི་ལྟ་ཞིང་། །ཆགས་པ་མེད་པར་འགྱུར་ཞིག་གུ། །,"At some point, may I not look back,<br>And become free from attachment."
ས་ཕྱོགས་བདག་གིར་བཟུང་མེད་པ། །རང་བཞིན་གྱིས་ནི་ཡངས་རྣམས་སུ། །རང་དབང་སྤྱོད་ཅིང་ཆགས་མེད་པར། །ནམ་ཞིག་བདག་ནི་གནས་པར་འགྱུར། །,"When will I dwell<br>Free from attachment and self-control,<br>In naturally vast spaces<br>Without claiming any land as my own?"
ལྷུང་བཟེད་ལ་སོགས་ཉི་ཚེ་དང་། །ཀུན་ལ་མི་མཁོའི་གོས་འཆང་ཞིང་། །,"Carrying an alms bowl and other specific items,<br>And wearing robes that are not needed by all."
ལུས་འདི་སྦ་བ་མ་བྱས་ཀྱང་། །འཇིགས་མེད་གནས་པར་ནམ་ཞིག་འགྱུར། །,"Though this body is not hidden,<br>When will it dwell without fear?"
དུར་ཁྲོད་སོང་ནས་གཞན་དག་གི། །རུས་གོང་དག་དང་བདག་གི་ལུས། །འཇིག་པའི་ཆོས་ཅན་དག་ཏུ་ནི། །ནམ་ཞིག་མགོ་སྙོམས་བྱེད་པར་འགྱུར། །,"Going to the charnel ground,<br>I will one day equalize<br>My body with the skulls of others,<br>Both being of the nature to decay."
བདག་གི་ལུས་ནི་འདི་ཉིད་ཀྱང་། །གང་གི་དྲི་ཡིས་ཝ་དག་ཀྱང་། །དྲུང་དུ་ཉེར་འགྲོ་མི་འགྱུར་བ། །དེ་ལྟ་བུར་ནི་འགྱུར་བར་འོང་། །,Even this very body of mine<br>Will become such that<br>Even jackals will not approach near<br>Due to its stench.
ལུས་འདི་གཅིག་པུ་བྱུང་བ་ཡང་། །ལྷན་ཅིག་སྐྱེས་པའི་ཤ་རུས་དག །ཞིག་སྟེ་སོ་སོར་འགྱེས་འགྱུར་ན། །མཛའ་བ་གཞན་དག་ཅི་ཞིག་སྨོས། །,"Even this single body that has arisen,<br>With flesh and bones born together as one,<br>Will decay and separate apart.<br>What need is there to speak of other loved ones?"
སྐྱེ་ན་གཅིག་པུ་སྐྱེ་འགྱུར་ཞིང་། །,"When born, one is born alone."
འཆི་ནའང་དེ་ཉིད་གཅིག་འཆི་སྟེ། །,"Even in death, that very essence alone dies."
སྡུག་བསྔལ་སྐལ་གཞན་མི་ལེན་ན། །གེགས་བྱེད་མཛའ་བས་ཅི་ཞིག་བྱ། །,"If one does not take on the suffering of others,<br>What use is there in having friends who create obstacles?"
ལམ་དག་ཏུ་ནི་ཞུགས་པ་རྣམས། །ཇི་ལྟར་གནས་ནི་འཛིན་བྱེད་ལྟར། །དེ་བཞིན་སྲིད་པའི་ལམ་ཞུགས་པའང་། །སྐྱེ་བའི་གནས་ནི་ཡོངས་སུ་འཛིན། །,"Just as those who have entered the pure path<br>Hold fast to their abodes,<br>Likewise, those who have entered the path of existence<br>Fully grasp their places of rebirth."
འཇིག་རྟེན་ཀུན་ནས་གདུང་བཞིན་དུ། །ཇི་སྲིད་སྐྱེས་བུ་བཞི་ཡིས་ནི། །དེ་ལས་དེ་ནི་མ་བཏེག་པ། །དེ་སྲིད་དུ་ནི་ནགས་སུ་སོང་། །,"As long as four men have not lifted<br>That which torments the entire world,<br>Until then, go to the forest."
བཤེས་མེད་འཁོན་པའང་མེད་བྱས་ནས། །ལུས་འདི་གཅིག་པུ་དབེན་གནས་ཏེ། །,"tags:<br><br><t><br>Having neither friends nor enemies,<br>This body alone dwells in solitude."
སྔ་ནས་ཤི་དང་འདྲར་བརྩིས་ནས། །ཤི་ནའང་མྱ་ངན་བྱེད་པ་མེད། །,"Having already considered oneself as if dead,<br>When death comes, there is no sorrow."
དྲུང་ན་འཁོད་པ་སུ་དག་ཀྱང་། །མྱ་ངན་གནོད་པ་བྱེད་མེད་པས། །འདི་ཡིས་སངས་རྒྱས་རྗེས་དྲན་སོགས། །སུས་ཀྱང་གཡེངས་པར་འགྱུར་བ་མེད། །,"Those who are seated nearby<br>Are free from sorrow and harm.<br>Thus, through this recollection of the Buddha and so forth,<br>No one will become distracted."
དེ་བས་ཤིན་ཏུ་མདངས་དགའ་བའི། །ནགས་ཚལ་ཚེགས་ཆུང་བདེ་སྐྱིད་ཅིང་། །གཡེང་བ་ཐམས་ཅད་ཞི་བྱེད་པར། །བདག་ཉིད་གཅིག་པུ་གནས་པར་བྱ། །,"Therefore, in a delightful forest grove,<br>Where joy comes easily and peace abides,<br>Where all distractions are pacified,<br>I shall dwell alone in solitude."
